데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,1년 전,대구,300000,TRUE,아이폰Xs,64GB
당근마켓,애플,2022-03-30,서울,200000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,240000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,1790000,TRUE,아이폰13ProMax,없음
당근마켓,애플,2022-03-30,경기도,220000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,경기도,770000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-30,경기도,770000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-30,서울,460000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-30,경기도,765000,FALSE,아이폰11ProMax,512GB
당근마켓,애플,2022-03-30,충남,180000,FALSE,아이폰Se,256GB
당근마켓,애플,2022-03-30,경기도,480000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-30,경기도,300000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-30,경기도,1350000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-30,제주,720000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-30,서울,590000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-30,제주,420000,FALSE,아이폰Xs,512GB
당근마켓,애플,2022-03-30,세종시,590000,FALSE,아이폰11Pro,없음
당근마켓,애플,2022-03-30,경기도,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,420000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-30,경기도,380000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-30,충남,260000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-30,서울,250000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-30,서울,240000,FALSE,아이폰SePro,64GB
당근마켓,애플,2022-03-30,광주,180000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-30,경기도,570000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-30,제주,850000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-30,서울,440000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-29,경기도,700000,FALSE,아이폰13Mini,128GB
당근마켓,애플,2022-03-29,부산,250000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-29,광주,450000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-29,경기도,1350000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-29,경기도,580000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-29,광주,400000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-29,경기도,650000,FALSE,아이폰12,128GB
당근마켓,애플,2022-03-29,경기도,700000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-29,경기도,1050000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-29,서울,450000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-29,대구,800000,FALSE,아이폰12Pro,256GB
당근마켓,애플,2022-03-29,경남,270000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-29,경기도,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-29,경기도,340000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-29,서울,220000,TRUE,아이폰Se,128GB
당근마켓,애플,2022-03-28,경기도,280000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-28,대구,340000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-28,경기도,333000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-28,경기도,420000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-28,경기도,730000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-28,광주,500000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-28,서울,1070000,TRUE,아이폰13,256GB
당근마켓,애플,2022-03-28,대구,160000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-28,부산,340000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-28,경기도,730000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-28,인천,480000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-28,충남,530000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-28,대구,210000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-28,서울,800000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-03-28,경기도,580000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-28,경기도,761000,TRUE,아이폰12Mini,64GB
당근마켓,애플,2022-03-28,부산,800000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-27,경기도,600000,FALSE,아이폰11ProMax,64GB
당근마켓,애플,2022-03-27,서울,1400000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-27,서울,300000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-27,서울,1370000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-27,서울,1670000,TRUE,아이폰13Pro,512GB
당근마켓,애플,2022-03-27,전북,500000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-27,서울,630000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-27,서울,430000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-27,부산,200000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-27,서울,650000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-27,경기도,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-27,경기도,450000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-27,경기도,250000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-27,경기도,230000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-26,서울,750000,TRUE,아이폰12Pro,128GB
당근마켓,애플,2022-03-26,서울,1100000,FALSE,아이폰12ProMax,512GB
당근마켓,애플,2022-03-26,서울,220000,TRUE,아이폰Xs,256GB
당근마켓,애플,2022-03-26,서울,630000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-26,서울,650000,TRUE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-26,경기도,200000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-26,서울,270000,TRUE,아이폰Xr,128GB
당근마켓,애플,2022-03-26,부산,300000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-26,경기도,1300000,TRUE,아이폰13Pro,256GB
당근마켓,애플,2022-03-26,서울,1700000,FALSE,아이폰13ProMax,없음
당근마켓,애플,2022-03-26,인천,680000,TRUE,아이폰11Pro,512GB
당근마켓,애플,2022-03-26,충북,780000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-25,서울,850000,FALSE,아이폰12Pro,256GB
당근마켓,애플,2022-03-25,부산,570000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-25,전북,910000,TRUE,아이폰13,128GB
당근마켓,애플,2022-03-25,전북,910000,TRUE,아이폰13,128GB
당근마켓,애플,2022-03-25,인천,1420000,TRUE,아이폰13Pro,512GB
당근마켓,애플,2022-03-23,경기도,125000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-24,경기도,800000,TRUE,아이폰13Mini,256GB
당근마켓,애플,2022-03-24,서울,760000,FALSE,아이폰13Mini,128GB
당근마켓,애플,2022-03-24,경기도,280000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-24,경기도,870000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-24,제주,496000,FALSE,아이폰13Mini,없음
당근마켓,애플,2022-03-24,경기도,1100000,TRUE,아이폰13Pro,128GB
당근마켓,애플,2022-03-23,서울,460000,FALSE,아이폰12Mini,64GB
당근마켓,애플,2022-03-23,인천,250000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-23,서울,400000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-23,경북,1500000,FALSE,아이폰13ProMax,256GB
